Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"87391","2021-01-01 03:10:42","1","34","<decision-trees>","1",""
"87392","2021-01-01 07:28:07","0","34","<machine-learning><python><deep-learning><image-classification><image-preprocessing>","1",""
"87393","2021-01-01 08:07:33","1","21","<neural-network><deep-learning><inception>","0",""
"87395","2021-01-01 10:31:51","1","45","<machine-learning><cloud><federated-learning>","1","1"
"87404","2021-01-01 18:00:21","1","59","<reinforcement-learning><openai-gym>","1",""
"87405","2021-01-01 18:18:01","2","127","<optimization><categorical-data><mathematics><theory><parameter-estimation>","0",""
"87413","2021-01-02 01:21:52","1","145","<neural-network><deep-learning><cnn><lstm><rnn>","0",""
"87414","2021-01-02 08:21:41","-1","43","<accuracy><metric><loss>","1","1"
"87416","2021-01-02 10:57:58","1","30","<machine-learning><regression><cnn>","0",""
"87417","2021-01-02 11:06:52","1","69","<visualization><graphs><tableau><powerbi>","1",""
"87418","2021-01-02 11:27:28","-1","36","<python><matplotlib><text>","1",""
"87422","2021-01-02 13:36:35","1","25","<clustering>","1",""
"87425","2021-01-02 16:15:43","1","179","<regression><xgboost>","0",""
"87430","2021-01-02 23:04:15","1","27","<machine-learning><deep-learning><decision-trees><data-science-model>","0",""
"87432","2021-01-02 23:22:51","2","828","<scikit-learn><accuracy><metric>","1",""
"87437","2021-01-03 04:07:36","1","417","<clustering><k-means><python-3.x><seaborn>","1",""
"87438","2021-01-03 04:55:11","-1","70","<scikit-learn><dataset>","1",""
"87442","2021-01-03 09:42:07","3","124","<machine-learning><hyperparameter-tuning><k-nn>","3","0"
"87446","2021-01-03 12:24:38","0","51","<machine-learning><predictive-modeling><machine-learning-model><supervised-learning>","2","1"
"87454","2021-01-03 16:21:59","1","886","<keras><tensorflow><dataset><numpy><python-3.x>","0",""
"87462","2021-01-03 21:51:38","0","46","<random-forest>","1",""
"87464","2021-01-03 23:53:01","0","23","<classification><data-analysis>","1",""
"87469","2021-01-04 06:59:42","1","2061","<deep-learning><keras><tensorflow><dataset>","1",""
"87470","2021-01-04 07:19:09","1","66","<overfitting><early-stopping><ngboost>","1",""
"87478","2021-01-04 10:46:26","0","26","<version-control>","1",""
"87479","2021-01-04 11:05:45","1","47","<machine-learning><sampling>","2",""
