Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"5","2014-05-13 23:58:30","9","834","<machine-learning>","1","1"
"7","2014-05-14 00:11:06","4","463","<education><open-source>","3","1"
"14","2014-05-14 01:25:59","25","1878","<data-mining><definitions>","4","6"
"15","2014-05-14 01:41:23","2","650","<databases>","0",""
"16","2014-05-14 01:57:56","17","424","<machine-learning><bigdata><libsvm>","2",""
"19","2014-05-14 03:56:20","92","18795","<bigdata><scalability><efficiency><performance>","12","26"
"20","2014-05-14 05:37:46","17","392","<nosql><relational-dbms>","5","1"
"22","2014-05-14 05:58:21","192","267124","<data-mining><clustering><octave><k-means><categorical-data>","13","138"
"31","2014-05-14 08:38:07","10","1724","<data-mining><clustering>","1","1"
"35","2014-05-14 09:51:54","20","647","<algorithms>","3","3"
"38","2014-05-14 10:44:58","15","3444","<nosql><tools><processing><apache-hadoop>","2","2"
"41","2014-05-14 11:15:40","53","9642","<bigdata><r>","9","20"
"50","2014-05-14 14:26:54","5","675","<r><databases><efficiency><tools>","2",""
"52","2014-05-14 15:25:21","35","4573","<r><data-cleaning>","7","20"
"59","2014-05-14 17:48:21","11","1276","<apache-hadoop><r>","3","1"
"61","2014-05-14 18:09:01","54","15580","<machine-learning><predictive-modeling>","8","20"
"69","2014-05-14 20:03:15","3","86","<processing>","1",""
"71","2014-05-14 22:12:37","14","736","<bigdata><statistics>","3","4"
"75","2014-05-15 00:26:11","4","159","<statistics><bigdata>","2","1"
"76","2014-05-15 00:39:33","6","177","<bigdata><tools><data-stream-mining>","1","1"
"77","2014-05-15 01:22:35","10","1167","<databases><nosql><neo4j>","2","1"
"81","2014-05-15 04:59:54","15","1218","<definitions><parallel><distributed>","3",""
"86","2014-05-15 09:04:09","15","2518","<clustering>","2","3"
"89","2014-05-15 11:22:27","12","496","<bigdata><google><search>","3",""
"94","2014-05-15 14:41:24","20","290","<recommender-system><information-retrieval>","3","3"
"102","2014-05-16 05:09:33","6","577","<nosql><performance>","1",""
"103","2014-05-16 14:26:12","23","8478","<clustering><algorithms><similarity>","5","3"
"107","2014-05-16 20:07:50","12","141","<tools><data-stream-mining>","2",""
"113","2014-05-17 04:53:03","13","239","<bigdata><performance><databases><nosql>","1",""
"115","2014-05-17 08:45:08","15","3800","<data-mining><machine-learning>","2","3"
"116","2014-05-17 09:16:18","27","3182","<machine-learning><dimensionality-reduction><python>","6","12"
"125","2014-05-17 21:52:34","1","735","<nosql>","2",""
"128","2014-05-18 06:10:52","61","28979","<nlp><topic-model><lda>","6","24"
"129","2014-05-18 06:17:37","10","1500","<nlp><language-model>","1",""
"130","2014-05-18 06:26:15","69","38002","<feature-selection><feature-extraction><dimensionality-reduction>","11","34"
"82072","2020-09-22 11:18:05","0","1428","<keras><tensorflow><numpy>","0",""
"82073","2020-09-22 11:40:24","7","1728","<python><scikit-learn><cross-validation><class-imbalance><smote>","1","4"
"82078","2020-09-22 13:00:39","0","49","<machine-learning><image-classification><machine-learning-model><image-recognition><pattern-recognition>","1",""
"82079","2020-09-22 13:05:23","0","31","<neural-network><preprocessing>","0",""
"82082","2020-09-22 13:33:53","4","85","<python><r><isolation-forest>","1",""
"82096","2020-09-22 15:50:17","3","134","<neural-network><scikit-learn><feature-selection>","0",""
"82099","2020-09-22 17:50:55","0","14","<machine-learning><machine-learning-model><multilabel-classification>","1",""
"82102","2020-09-22 19:27:48","0","58","<decision-trees>","1",""
"82104","2020-09-22 21:01:00","2","112","<regression><linear-regression>","2",""
"82105","2020-09-22 21:28:41","0","631","<time-series><forecasting><forecast><arima>","2",""
"82108","2020-09-22 22:24:56","0","35","<dataset><speech-to-text>","1",""
"82109","2020-09-23 00:07:11","1","76","<keras><tensorflow><time-series><lstm>","1",""
"82113","2020-09-23 07:31:50","0","967","<keras><tensorflow><cnn><epochs>","1",""
"82115","2020-09-23 08:16:01","1","62","<nlp>","1",""
"82116","2020-09-23 08:32:35","0","273","<machine-learning><deep-learning><optimization><gradient-descent>","1",""
"82118","2020-09-23 09:02:39","1","13","<neural-network><regression><lstm><data-cleaning><preprocessing>","0",""
"82120","2020-09-23 09:27:41","0","1016","<pandas>","2",""
"82126","2020-09-23 11:15:38","-2","67","<neural-network><deep-learning><loss-function><loss>","1",""
"82127","2020-09-23 12:00:40","2","166","<machine-learning><object-detection>","0",""
"82130","2020-09-23 12:45:02","0","89","<machine-learning><deep-learning><optimization><gradient-descent>","1",""
"82134","2020-09-23 13:18:40","1","45","<nlp><word-embeddings><word2vec><weight-initialization><fasttext>","1",""
"82136","2020-09-23 13:19:57","0","36","<python><neural-network><tensorflow><image-classification>","1",""
"82137","2020-09-23 13:57:41","3","93","<python><keras><graphs>","1","1"
"82139","2020-09-23 15:23:06","1","64","<linear-regression><feature-engineering>","1",""
"82151","2020-09-23 23:43:53","0","77","<machine-learning><python><linear-regression>","1",""
"82152","2020-09-24 01:10:41","2","188","<loss-function><autoencoder><vae>","1",""
"82153","2020-09-24 02:04:37","2","79","<machine-learning><clustering><markov-hidden-model>","0",""
"82158","2020-09-24 07:16:07","1","60","<python><time-series><predictive-modeling><lstm>","0",""
"82169","2020-09-24 13:29:21","1","32","<classification><rnn><markov-process><survival-analysis>","0",""
"82172","2020-09-24 13:57:25","1","32","<time-series><forecasting><missing-data><data-imputation>","0",""
"82173","2020-09-24 14:41:38","1","63","<deep-learning><tensorflow><transfer-learning>","1","1"
"82174","2020-09-24 14:53:24","1","102","<keras><class-imbalance><semantic-segmentation>","0",""
"82177","2020-09-24 11:17:53","0","23","<gpu><inference>","0",""
"82180","2020-09-24 17:07:18","-3","119","<nlp><bert><embeddings>","1",""
"82184","2020-09-24 18:47:27","1","99","<machine-learning><neural-network><deep-learning><gradient-descent><linear-algebra>","1",""
"82186","2020-09-24 18:57:32","-2","102","<machine-learning>","1",""
"82187","2020-09-24 19:04:00","1","133","<recommender-system>","1",""
"82194","2020-09-24 23:31:20","2","60","<clustering><image-preprocessing><image-segmentation><spectral-clustering>","1",""
"82201","2020-09-25 04:24:05","1","92","<machine-learning><random-forest><decision-trees><feature-engineering><feature-extraction>","2",""
"82205","2020-09-25 07:17:20","-3","107","<python><regex>","1",""
"82212","2020-09-25 11:21:03","0","571","<feature-extraction><image-preprocessing><one-shot-learning>","1",""
"82213","2020-09-25 11:27:44","3","463","<regression><xgboost><regularization>","1","1"
"55811","2019-07-17 05:49:50","2","5613","<python><pandas><csv><data-formats>","1","1"
"55816","2019-07-17 07:14:02","0","112","<machine-learning><deep-learning><cnn><batch-normalization>","0",""
"55818","2019-07-17 08:00:00","0","61","<machine-learning><r><feature-engineering><data-science-model><feature-map>","0",""
"55820","2019-07-17 08:59:13","0","2943","<python><pandas>","1",""
"55821","2019-07-17 09:29:07","3","70","<machine-learning><computer-vision><nlp>","4","1"
"55823","2019-07-17 09:35:57","1","33","<deep-learning>","0","1"
"55826","2019-07-17 11:09:26","0","85","<machine-learning><classification><class-imbalance>","2",""
"55828","2019-07-17 11:45:42","1","1412","<deep-learning>","1",""
"55829","2019-07-17 11:51:26","0","45","<machine-learning><deep-learning><anomaly-detection>","1",""
"55830","2019-07-17 11:55:42","0","2771","<machine-learning><python>","1",""
"55831","2019-07-17 12:03:36","4","336","<machine-learning><regularization><lasso>","2",""
"55833","2019-07-17 13:39:38","0","850","<machine-learning><keras><time-series><lstm><sequence>","0","1"
"55835","2019-07-17 13:47:50","0","1230","<machine-learning><nlp><word2vec><gensim>","1",""
"55838","2019-07-17 13:56:09","1","1032","<deep-learning><gan><transfer-learning><generative-models>","1",""
"55843","2019-07-17 15:06:27","1","123","<machine-learning><text-mining>","1",""
"55850","2019-07-17 15:53:35","1","2598","<scipy>","1","0"
"55855","2019-07-17 18:10:46","0","479","<machine-learning><tensorflow>","1",""
"55856","2019-07-17 18:33:59","0","188","<python><nlp><clustering><word-embeddings>","1",""
"55859","2019-07-17 19:32:53","1","373","<deep-learning><keras><tensorflow>","2","2"
"55860","2019-07-17 19:36:40","1","72","<beginner>","1","2"
"55862","2019-07-17 20:17:56","0","24","<decision-trees>","1",""
"55869","2019-07-17 21:51:57","1","50","<scikit-learn><random-forest>","0",""
"55876","2019-07-17 23:40:17","2","110","<machine-learning><data-mining><text-mining><nlp>","0",""
"55877","2019-07-17 23:57:25","0","103","<beginner><missing-data><definitions>","1",""
"55879","2019-07-18 00:31:19","2","102","<data-cleaning><csv>","2",""
"55887","2019-07-18 05:46:20","1","47","<machine-learning><deep-learning><tensorflow><data-science-model>","0","1"
"55888","2019-07-18 06:10:56","-1","78","<machine-learning><python><scala>","1",""
"55892","2019-07-18 06:53:51","1","139","<nlp><machine-translation>","1",""
"55894","2019-07-18 07:23:45","0","30","<machine-learning><deep-learning><activation-function><perceptron>","0",""
"55896","2019-07-18 07:42:15","5","5970","<machine-learning><nlp><spacy>","1",""
"55897","2019-07-18 07:44:14","0","63","<machine-learning><time-series><linear-regression>","1",""
"55901","2019-07-18 08:34:46","18","3628","<nlp><encoding><transformer><attention-mechanism>","4","8"
"55902","2019-07-18 08:36:01","6","9176","<machine-learning><python><classification><xgboost>","2",""
"55907","2019-07-18 09:21:08","4","1683","<python><image-classification><pytorch>","2","1"
"55909","2019-07-18 09:31:10","0","83","<deep-learning>","2",""
"55916","2019-07-18 12:07:09","1","796","<python><pandas><dataframe><text>","1",""
"55919","2019-07-18 13:33:17","0","494","<neural-network><feature-engineering><feature-scaling>","0","1"
"55920","2019-07-18 13:40:37","-1","58","<machine-learning><clustering>","1",""
"55923","2019-07-18 14:19:53","-1","39","<machine-learning><linear-regression><linear-algebra>","1",""
"55924","2019-07-18 14:20:55","1","133","<labels><binary><deep-learning>","1",""
"55928","2019-07-18 14:42:28","2","244","<python><scikit-learn><categorical-data><encoding>","2","1"
"55931","2019-07-18 15:07:00","1","55","<tensorflow>","1",""
"55933","2019-07-18 15:10:00","1","57","<python><bigdata>","0",""
"55935","2019-07-18 15:35:56","1","403","<classification><data-science-model><weka>","1",""
"55948","2019-07-18 18:19:11","0","139","<python><feature-selection><multiclass-classification><supervised-learning>","1",""
"55949","2019-07-18 18:41:09","1","228","<machine-learning>","2","1"
"55950","2019-07-18 18:59:27","0","1973","<dataset><data><excel>","1",""
"55953","2019-07-18 19:16:55","1","18","<neural-network><dataset><data><generalization>","0",""
"55955","2019-07-18 19:48:56","0","83","<neural-network>","1",""
"55958","2019-07-18 21:25:46","1","10","<machine-learning><deep-learning><classification><data-mining>","0",""
"28070","2018-02-20 23:25:17","1","917","<machine-learning><neural-network><keras><rnn><mlp>","2",""
"28071","2018-02-21 00:12:58","1","33","<dataset><statistics><data-cleaning><methodology>","1",""
"28073","2018-02-21 01:40:12","1","1951","<data-mining><time-series><text-mining><weka>","1",""
"28074","2018-02-21 02:40:58","1","125","<k-means>","1",""
"28085","2018-02-21 08:07:26","2","234","<machine-learning><time-series><forecasting>","2",""
"28086","2018-02-21 08:27:11","4","2517","<python><neural-network><keras><time-series><rnn>","1","1"
"28087","2018-02-21 08:43:47","1","85","<machine-learning><data-science-model><machine-learning-model>","0",""
"28088","2018-02-21 08:50:41","1","427","<r><glm>","1",""
"28091","2018-02-21 09:09:52","6","186","<machine-learning><nlp><text-mining><similar-documents>","1","2"
"28094","2018-02-21 10:26:25","5","653","<machine-learning><linear-regression><linear-algebra>","1",""
"28095","2018-02-21 11:00:18","4","7430","<deep-learning><neural-network><computer-vision><convolutional-neural-network><rnn>","4","3"
"28101","2018-02-21 12:42:03","1","607","<r><pca>","2","1"
"28112","2018-02-21 15:20:31","1","438","<dataset>","2",""
"28114","2018-02-21 15:35:39","0","2125","<machine-learning><machine-learning-model>","3","3"
"28116","2018-02-21 16:02:03","0","112","<nltk>","1",""
"28120","2018-02-21 16:17:54","1","2670","<python><keras>","1","1"
"28126","2018-02-21 17:51:10","1","72","<time-series><rnn>","1",""
"28128","2018-02-21 18:15:59","-1","83","<machine-learning><regression>","3",""
"28129","2018-02-21 18:34:29","1","73","<bigdata><convolutional-neural-network><numpy>","1","1"
"28130","2018-02-21 18:59:37","1","117","<machine-learning><python><scikit-learn>","2","1"
"28131","2018-02-21 19:06:46","1","256","<machine-learning><python><scikit-learn><random-forest><pandas>","2",""
"28141","2018-02-21 20:27:14","2","2387","<neural-network><deep-learning><keras>","1",""
"28150","2018-02-21 23:06:18","1","303","<machine-learning><deep-learning>","1","1"
"28156","2018-02-22 02:08:22","2","2770","<python><scikit-learn><nlp><random-forest><dataframe>","4",""
"28157","2018-02-22 04:44:07","0","1214","<machine-learning><python><scikit-learn><nlp><random-forest>","1",""
"28158","2018-02-22 05:23:43","28","41300","<machine-learning><python><scikit-learn><cross-validation>","2","5"
"28161","2018-02-22 05:54:48","2","5635","<python><visualization><jupyter><ipython>","4","3"
"28166","2018-02-22 06:54:39","1","29","<feature-selection><feature-extraction><kernel>","0",""
"28168","2018-02-22 08:19:29","1","30","<machine-learning><bigdata><cloud-computing><hardware>","0",""
"28173","2018-02-22 10:09:44","0","276","<machine-learning><scikit-learn>","1",""
"28176","2018-02-22 10:16:38","2","4780","<machine-learning><python><feature-engineering><prediction>","1","2"
"28177","2018-02-22 10:19:01","10","21255","<apache-spark><pyspark>","1","5"
"28179","2018-02-22 12:27:21","0","72","<machine-learning><forecasting>","1",""
"28182","2018-02-22 14:11:14","2","217","<keras><time-series><lstm>","1",""
"28187","2018-02-22 14:57:37","0","484","<tensorflow><cnn><mnist>","1",""
"28188","2018-02-22 15:09:40","2","262","<r><missing-data><data-imputation>","1",""
"28191","2018-02-22 15:34:03","1","365","<neural-network>","1",""
"28192","2018-02-22 16:32:57","3","5947","<machine-learning><neural-network><deep-learning>","2","2"
"28194","2018-02-22 16:49:23","2","199","<machine-learning><neural-network><training>","1","1"
"28196","2018-02-22 16:56:09","1","183","<machine-learning><feature-selection><random-forest>","1","1"
"28198","2018-02-22 17:31:42","1","340","<machine-learning><recommender-system>","1",""
"28200","2018-02-22 18:10:43","5","4398","<machine-learning><classification><time-series><class-imbalance>","1",""
"28202","2018-02-22 19:04:49","1","52","<machine-learning><classification><time-series>","0",""
"28210","2018-02-22 21:32:37","25","44371","<python><keras>","3","11"
"134","2014-05-18 12:03:21","11","696","<scalability><apache-hadoop><map-reduce><mongodb>","3","1"
"138","2014-05-18 14:02:51","10","217","<bigdata><efficiency><performance>","4",""
"143","2014-05-18 14:37:20","10","966","<nosql><efficiency><indexing><data-indexing-techniques><.net>","1",""
"155","2014-05-18 18:45:38","199","31665","<open-source><dataset>","35","196"
"159","2014-05-18 19:46:44","6","547","<bigdata><machine-learning><databases><statistics><education>","1","1"
"169","2014-05-19 15:55:24","15","5193","<machine-learning><statistics><feature-selection>","4","5"
"172","2014-05-19 23:59:58","27","17694","<performance><python><pandas><parallel>","4","6"
"175","2014-05-20 22:14:02","3","59","<metadata><parsing>","1",""
