Vehicle,Type,Maker,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Audi A3 e-tron,BEV,Audi,2015,0,0,0,0,0,0,0,0,0,0,0,49
Audi A3 e-tron,BEV,Audi,2016,327,243,332,326,361,353,349,346,312,348,394,589
Audi A3 e-tron,BEV,Audi,2017,387,400,414,301,294,324,218,129,85,17,38,270
Audi A3 e-tron,BEV,Audi,2018,145,199,214,189,267,238,220,240,230,210,180,265
Audi A3 e-tron,BEV,Audi,2019,0,0,0,253,856,726,678,593,434,462,621,746
Audi A3 e-tron,BEV,Audi,2020,0,0,1711,0,0,1161,0,0,2296,0,0,1064
Audi A3 e-tron,BEV,Audi,2021,0,0,3474,0,0,1648,0,0,326,0,0,1981
Audi A3 e-tron,BEV,Audi,2022,0,0,2028,0,0,0,0,0,0,0,0,0
BMW 330e,PHEV,BMW,2016,0,0,19,25,67,26,81,51,54,92,215,240
BMW 330e,PHEV,BMW,2017,129,144,365,260,475,496,387,409,329,307,477,363
BMW 330e,PHEV,BMW,2018,101,142,202,166,150,138,106,192,195,229,373,606
BMW 330e,PHEV,BMW,2019,216,185,175,53,27,25,16,5,2,5,6,4
BMW 530e,PHEV,BMW,2017,0,0,0,13,147,239,343,345,511,596,872,706
BMW 530e,PHEV,BMW,2018,224,413,689,518,729,942,536,749,756,733,1012,1363
BMW 530e,PHEV,BMW,2019,376,414,436,416,727,908,444,606,310,305,421,499
BMW 740e,PHEV,BMW,2016,0,0,0,0,0,0,0,0,0,0,0,23
BMW 740e,PHEV,BMW,2017,18,35,42,123,33,52,80,39,43,55,120,67
BMW 740e,PHEV,BMW,2018,18,23,31,60,17,16,40,18,25,45,18,28
BMW 740e,PHEV,BMW,2019,6,14,15,8,12,6,2,8,5,4,4,3
BMW i3,BEV,BMW,2014,0,0,0,0,336,358,363,1025,1022,1159,816,1013
BMW i3,BEV,BMW,2015,670,1089,922,406,818,551,935,792,1710,986,723,1422
BMW i3,BEV,BMW,2016,182,248,332,814,696,608,1479,1013,391,442,629,791
BMW i3,BEV,BMW,2017,382,318,703,516,506,567,601,504,538,686,283,672
BMW i3,BEV,BMW,2018,382,623,992,503,424,580,464,418,461,424,490,356
BMW i3,BEV,BMW,2019,255,350,359,331,439,473,304,385,467,359,918,214
BMW i3,BEV,BMW,2020,21,27,16,34,75,79,216,191,203,216,177,247
BMW i3,BEV,BMW,2021,109,109,122,173,166,173,144,138,144,66,66,66
BMW i3,BEV,BMW,2022,3,3,3,0,0,0,0,0,0,0,0,0
BMW i8,PHEV,BMW,2014,0,0,0,0,0,0,0,9,58,204,126,158
BMW i8,PHEV,BMW,2015,85,113,143,138,117,137,217,210,182,149,118,656
BMW i8,PHEV,BMW,2016,32,54,89,130,146,169,166,145,158,199,173,133
BMW i8,PHEV,BMW,2017,50,58,49,23,18,22,55,29,27,33,44,80
BMW i8,PHEV,BMW,2018,32,39,47,57,64,45,72,67,55,64,133,97
BMW i8,PHEV,BMW,2019,23,47,91,87,145,280,101,90,68,64,55,51
BMW i8,PHEV,BMW,2020,21,28,17,9,20,21,17,15,16,9,8,11
BMW i8,PHEV,BMW,2021,3,3,3,1,1,1,1,1,1,2,2,2
BMW i8,PHEV,BMW,2022,1,1,1,0,0,0,0,0,0,0,0,0
BMW X5 xDrive 40e,PHEV,BMW,2015,0,0,0,0,0,0,0,0,0,118,167,607
BMW X5 xDrive 40e,PHEV,BMW,2016,81,345,313,655,500,583,649,876,482,406,436,569
BMW X5 xDrive 40e,PHEV,BMW,2017,262,275,397,291,433,488,463,317,333,329,929,832
BMW X5 xDrive 40e,PHEV,BMW,2018,261,596,627,563,499,321,431,264,225,224,213,210
BMW X5 xDrive 40e,PHEV,BMW,2019,71,38,26,9,4,8,4,2,1,2,1,1
Cadillac CT6 PHEV,PHEV,Cadillac,2017,0,0,0,8,16,20,22,23,27,27,29,35
Cadillac CT6 PHEV,PHEV,Cadillac,2018,6,24,17,42,30,18,26,23,11,12,13,9
Cadillac CT6 PHEV,PHEV,Cadillac,2019,8,1,3,2,0,2,2,2,3,1,0,0
Cadillac ELR,PHEV,Cadillac,2013,0,0,0,0,0,0,0,0,0,0,0,6
Cadillac ELR,PHEV,Cadillac,2014,41,58,81,61,52,97,188,196,111,152,155,118
Cadillac ELR,PHEV,Cadillac,2015,92,127,92,104,116,62,66,45,36,82,67,135
Cadillac ELR,PHEV,Cadillac,2016,67,91,104,95,45,94,15,6,6,3,5,3
Cadillac ELR,PHEV,Cadillac,2017,3,0,2,2,0,7,2,1,0,0,0,0
Chevrolet Bolt,BEV,Chevrolet,2016,0,0,0,0,0,0,0,0,0,0,0,579
Chevrolet Bolt,BEV,Chevrolet,2017,1162,952,978,1292,1566,1642,1971,2107,2632,2781,2987,3227
Chevrolet Bolt,BEV,Chevrolet,2018,1177,1424,1774,1161,1161,1161,1247,1403,1299,2098,2017,2908
Chevrolet Bolt,BEV,Chevrolet,2019,1420,1363,1533,1289,1487,1190,1589,1779,1462,1089,1129,1089
Chevrolet Bolt,BEV,Chevrolet,2020,1908,2470,1496,449,998,1048,1992,1771,1919,2261,1857,2584
Chevrolet Bolt,BEV,Chevrolet,2021,2888,2888,3249,3803,3657,3803,1524,1467,1524,8,8,8
Chevrolet Bolt,BEV,Chevrolet,2022,115,115,129,0,0,0,0,0,0,0,0,0
Chevrolet Spark,BEV,Chevrolet,2015,86,119,151,920,283,226,57,135,157,177,166,152
Chevrolet Spark,BEV,Chevrolet,2016,139,216,252,419,394,359,333,292,315,260,39,17
Chevrolet Spark,BEV,Chevrolet,2017,4,4,3,1,0,1,1,0,0,0,7,2
Chevrolet Volt,PHEV,Chevrolet,2011,321,281,608,493,481,561,125,302,723,1108,1139,1529
Chevrolet Volt,PHEV,Chevrolet,2012,603,2046,2289,1462,1680,1760,1849,2831,2851,2961,1519,2533
Chevrolet Volt,PHEV,Chevrolet,2013,1140,1626,1478,1306,1607,2698,1788,3351,1766,2022,1920,2392
Chevrolet Volt,PHEV,Chevrolet,2014,918,1210,1478,1548,1684,1777,2020,2511,1394,1439,1336,1490
Chevrolet Volt,PHEV,Chevrolet,2015,542,693,639,905,1618,1225,1313,1380,949,2035,1980,2114
Chevrolet Volt,PHEV,Chevrolet,2016,996,1126,1865,1983,1901,1937,2406,2081,2031,2191,2531,3691
Chevrolet Volt,PHEV,Chevrolet,2017,1611,1820,2132,1807,1817,1745,1518,1445,1453,1362,1702,1937
Chevrolet Volt,PHEV,Chevrolet,2018,713,983,1782,1445,1445,1445,1714,1929,1786,1710,1644,1710
Chevrolet Volt,PHEV,Chevrolet,2019,829,796,895,372,430,344,288,322,265,122,126,122
